r_t,a_t,s_t,s_t_p_1,id_simulation
-1.6199429920715591,"(3, 3)","(1, 1)","(1, 2)",0
-2.69486310799816,"(2, 4)","(1, 2)","(1, 1)",0
-6.068305994725669,"(1, 4)","(1, 1)","(1, 0)",0
-4.0846013662505385,"(1, 1)","(1, 0)","(2, 0)",0
-2.2826254241355337,"(2, 1)","(2, 0)","(3, 0)",0
-2.0423006831252692,"(2, 2)","(3, 0)","(2, 0)",0
-2.0227686649085563,"(3, 2)","(2, 0)","(1, 0)",0
-1.3615337887501795,"(3, 1)","(1, 0)","(2, 0)",0
-4.666112127575756,"(1, 3)","(2, 0)","(2, 1)",0
-1.7570138651017126,"(3, 1)","(2, 1)","(3, 1)",0
-1.9697309354217365,"(3, 1)","(3, 1)","(4, 1)",0
-1.0,"(0, 2)","(4, 1)","(4, 1)",0
-1.0,"(0, 1)","(4, 1)","(4, 1)",0
-1.0,"(0, 3)","(4, 1)","(4, 1)",0
-1.0,"(0, 3)","(4, 1)","(4, 1)",0
-1.0,"(0, 3)","(4, 1)","(4, 1)",0
-1.0,"(0, 4)","(4, 1)","(4, 1)",0
-1.0,"(0, 4)","(4, 1)","(4, 1)",0
-5.271041595305138,"(1, 2)","(4, 1)","(3, 1)",0
-1.0,"(0, 4)","(3, 1)","(3, 1)",0
-1.0,"(0, 1)","(3, 1)","(3, 1)",0
-1.0,"(0, 4)","(3, 1)","(3, 1)",0
-4.666112127575756,"(1, 2)","(3, 1)","(2, 1)",0
-1.0,"(0, 2)","(2, 1)","(2, 1)",0
-1.7965754053321066,"(3, 2)","(2, 1)","(1, 1)",0
-2.0227686649085563,"(3, 4)","(1, 1)","(1, 0)",0
-1.0,"(0, 3)","(1, 0)","(1, 0)",0
-2.0423006831252692,"(2, 1)","(1, 0)","(2, 0)",0
-1.0,"(0, 1)","(2, 0)","(2, 0)",0
-1.5217502827570224,"(3, 1)","(2, 0)","(3, 0)",0
-1.9865028938908182,"(2, 1)","(3, 0)","(4, 0)",0
-4.565250848271067,"(1, 2)","(4, 0)","(3, 0)",0
-1.0,"(0, 1)","(3, 0)","(3, 0)",0
-1.0,"(0, 1)","(3, 0)","(3, 0)",0
-1.7570138651017126,"(3, 3)","(3, 0)","(3, 1)",0
-4.565250848271067,"(1, 4)","(3, 1)","(3, 0)",0
-1.0,"(0, 4)","(3, 0)","(3, 0)",0
-4.0846013662505385,"(1, 2)","(3, 0)","(2, 0)",0
-1.0,"(0, 4)","(2, 0)","(2, 0)",0
-2.2826254241355337,"(2, 1)","(2, 0)","(3, 0)",0
-1.0,"(0, 3)","(3, 0)","(3, 0)",0
-20.0,"(1, 4)","(3, 0)","(3, 0)",0
-3.9730057877816365,"(1, 1)","(3, 0)","(4, 0)",0
-4.565250848271067,"(1, 2)","(4, 0)","(3, 0)",0
-5.271041595305138,"(1, 3)","(3, 0)","(3, 1)",0
-4.565250848271067,"(1, 4)","(3, 1)","(3, 0)",0
-1.0,"(0, 1)","(3, 0)","(3, 0)",0
-1.3615337887501795,"(3, 2)","(3, 0)","(2, 0)",0
-60.0,"(3, 4)","(2, 0)","(2, 0)",0
-1.0,"(0, 1)","(2, 0)","(2, 0)",0
-3.0341529973628343,"(2, 2)","(2, 0)","(1, 0)",0
-1.3615337887501795,"(3, 1)","(1, 0)","(2, 0)",0
-40.0,"(2, 4)","(2, 0)","(2, 0)",0
-40.0,"(2, 4)","(2, 0)","(2, 0)",0
-1.0,"(0, 2)","(2, 0)","(2, 0)",0
-20.0,"(1, 4)","(2, 0)","(2, 0)",0
-2.0227686649085563,"(3, 2)","(2, 0)","(1, 0)",0
-20.0,"(1, 4)","(1, 0)","(1, 0)",0
-20.0,"(1, 4)","(1, 0)","(1, 0)",0
-2.0423006831252692,"(2, 1)","(1, 0)","(2, 0)",0
-1.0,"(0, 2)","(2, 0)","(2, 0)",0
-4.666112127575756,"(1, 3)","(2, 0)","(2, 1)",0
-1.7965754053321066,"(3, 2)","(2, 1)","(1, 1)",0
-4.666112127575756,"(1, 1)","(1, 1)","(2, 1)",0
-1.0,"(0, 1)","(2, 1)","(2, 1)",0
-1.7965754053321066,"(3, 2)","(2, 1)","(1, 1)",0
-1.0,"(0, 2)","(1, 1)","(1, 1)",0
-1.5553707091919187,"(3, 1)","(1, 1)","(2, 1)",0
-2.69486310799816,"(2, 2)","(2, 1)","(1, 1)",0
-2.611802960236611,"(2, 2)","(1, 1)","(0, 1)",0
-1.1219266070351435,"(3, 3)","(0, 1)","(0, 2)",0
-20.0,"(1, 2)","(0, 2)","(0, 2)",0
-20.0,"(1, 2)","(0, 2)","(0, 2)",0
-1.0,"(0, 2)","(0, 2)","(0, 2)",0
-1.0,"(0, 1)","(0, 2)","(0, 2)",0
-2.4299144881073387,"(2, 1)","(0, 2)","(1, 2)",0
-1.0,"(0, 1)","(1, 2)","(1, 2)",0
-5.38972621599632,"(1, 4)","(1, 2)","(1, 1)",0
-2.611802960236611,"(2, 2)","(1, 1)","(0, 1)",0
-1.7965754053321066,"(3, 1)","(0, 1)","(1, 1)",0
-1.5553707091919187,"(3, 1)","(1, 1)","(2, 1)",0
-4.0846013662505385,"(1, 4)","(2, 1)","(2, 0)",0
-1.0,"(0, 1)","(2, 0)","(2, 0)",0
-2.333056063787878,"(2, 3)","(2, 0)","(2, 1)",0
-2.0423006831252692,"(2, 4)","(2, 1)","(2, 0)",0
-4.666112127575756,"(1, 3)","(2, 0)","(2, 1)",0
-6.9854327633527316,"(1, 3)","(2, 1)","(2, 2)",0
-1.0,"(0, 2)","(2, 2)","(2, 2)",0
-4.666112127575756,"(1, 4)","(2, 2)","(2, 1)",0
-4.0846013662505385,"(1, 4)","(2, 1)","(2, 0)",0
-4.666112127575756,"(1, 3)","(2, 0)","(2, 1)",0
-6.9854327633527316,"(1, 3)","(2, 1)","(2, 2)",0
-1.0,"(0, 3)","(2, 2)","(2, 2)",0
-1.0,"(0, 2)","(2, 2)","(2, 2)",0
-5.466511819386338,"(1, 3)","(2, 2)","(2, 3)",0
-2.251175312768106,"(2, 1)","(2, 3)","(3, 3)",0
-1.0,"(0, 2)","(3, 3)","(3, 3)",0
-2.3751853829116722,"(2, 1)","(3, 3)","(4, 3)",0
-4.620061067547363,"(1, 1)","(4, 3)","(5, 3)",0
-1.0,"(0, 4)","(5, 3)","(5, 3)",0
-1.0,"(0, 1)","(0, 12)","(0, 12)",1
-2.143420871008536,"(3, 1)","(0, 12)","(1, 12)",1
-2.282653615284418,"(2, 2)","(1, 12)","(0, 12)",1
-4.800223574935237,"(1, 3)","(0, 12)","(0, 13)",1
-2.582463197814115,"(2, 3)","(0, 13)","(0, 14)",1
-1.0,"(0, 3)","(0, 14)","(0, 14)",1
-1.6000745249784123,"(3, 4)","(0, 14)","(0, 13)",1
-1.0,"(0, 3)","(0, 13)","(0, 13)",1
-2.38083218325575,"(2, 1)","(0, 13)","(1, 13)",1
-1.0,"(0, 3)","(1, 13)","(1, 13)",1
-2.143420871008536,"(3, 4)","(1, 13)","(1, 12)",1
-1.5872214555038333,"(3, 3)","(1, 12)","(1, 13)",1
-1.1853042043117799,"(3, 3)","(1, 13)","(1, 14)",1
-4.7616643665115,"(1, 4)","(1, 14)","(1, 13)",1
-1.6000745249784123,"(3, 2)","(1, 13)","(0, 13)",1
-20.0,"(1, 2)","(0, 13)","(0, 13)",1
-5.16492639562823,"(1, 3)","(0, 13)","(0, 14)",1
-4.800223574935237,"(1, 4)","(0, 14)","(0, 13)",1
-1.0,"(0, 1)","(0, 13)","(0, 13)",1
-1.0,"(0, 4)","(0, 13)","(0, 13)",1
-1.5872214555038333,"(3, 1)","(0, 13)","(1, 13)",1
-1.9772885888180767,"(2, 1)","(1, 13)","(2, 13)",1
-3.360245328943147,"(1, 1)","(2, 13)","(3, 13)",1
-1.0,"(0, 4)","(3, 13)","(3, 13)",1
-1.9772885888180767,"(2, 2)","(3, 13)","(2, 13)",1
-6.120647870088749,"(1, 3)","(2, 13)","(2, 14)",1
-1.9841297712521895,"(3, 1)","(2, 14)","(3, 14)",1
-1.3590412955232254,"(2, 1)","(3, 14)","(4, 14)",1
-2.976194656878284,"(2, 2)","(4, 14)","(3, 14)",1
-1.6144358208266958,"(3, 3)","(3, 14)","(3, 15)",1
-1.0,"(0, 2)","(3, 15)","(3, 15)",1
-5.25684640375889,"(1, 3)","(3, 15)","(3, 16)",1
-1.0,"(0, 2)","(3, 16)","(3, 16)",1
-1.0,"(0, 4)","(3, 16)","(3, 16)",1
-1.0,"(0, 1)","(3, 16)","(3, 16)",1
-2.4216537312400437,"(2, 4)","(3, 16)","(3, 15)",1
-1.7833690785018061,"(3, 2)","(3, 15)","(2, 15)",1
